-2059166, -2030000
-2059166, 1930833
-2012500, -1960000
-2012500, 1802500
-1977500, 2018333
-1884166, -1831666
-1884166, 1656666
-1627500, -1703333
-1627500, 1470000
-1376666, -1522500
-1376666, 11000
-11000, -11000
-11000, 5000
-300, -300
-300, -100
-300, 300
-200, -400
-200, 50
0, 0
10, 10
30, 10
30, 80
50, 50
100, -100
100, 80
5000, -400
5000, 5000
11000, -11000
11000, 11000
1499166, -1522500
1499166, 1470000
1720833, -1703333
1720833, 1656666
1837500, -1831666
1837500, 1802500
1954166, -1960000
1954166, 1930833
2030000, -2030000
2030000, 2018333
FALSE
